 Nome,Custo de Frete até 100Kg [R$/Kg],Custo de Frete mais de 100Kg [R$/Kg],Cidade,Tempo para Entrega
 Expresso Oriente,R$ 2.10,R$ 1.50,São Paulo,12h
 Expresso Oriente,R$ 4.20,R$ 3.10,Belo Horizonte,18h
 Expresso Oriente,R$ 4.50,R$ 2.20,Curitiba,18h
 Expresso Oriente,R$ 6.30,R$ 3.60,Fortaleza,48h
 Expresso Oriente,R$ 1.30,R$ 0.95,Campinas,12h
 LevoJa,R$ 2.09,R$ 1.09,São Paulo,8h
 LevoJa,R$ 3.20,R$ 1.21,Belo Horizonte,18h
 LevoJa,R$ 6.50,R$ 4.32,Curitiba,18h
 LevoJa,R$ 5.80,R$ 5.80,Natal,36h
 LevoJa,R$ 10.50,R$ 15.50,Manaus,16h
 LevoJa,R$ 2.35,R$ 1.95,Campinas,12h
 Rapido Jacutinga,R$ 18.25,R$ 16.75,Salvador,4h
 Rapido Jacutinga,R$ 14.50,R$ 12.20,Campinas,2h
 Rapido Jacutinga,R$ 15.72,R$ 18.14,São Paulo,2h
 Rapido Jacutinga,R$ 13.67,R$ 12.14,Rio de Janiero,3h
 Rapido Jacutinga,R$ 11.50,R$ 10.20,Recife,5h
